variable;PS_A;PS_B;PS_C;PS_D;PS_E;PS_I;PS_J;PS_K;SWL_A
DRT.Netto_Omzet_minus_accijnzen;0;0;0;0;0;0;0;0;0
IH.Export;0;0;0;0;0;0;0;0;0
IH.Import;0;0;0;0;0;0;0;0;0
INIVA.Investeringen_immateriele_vaste_activa_INIVA_SFGO;0;0;0;0;0;0;0;0;0
INIVA.Investeringen_immateriele_vaste_activa_INIVA_WIA;0;0;0;0;0;0;0;0;0
INIVA.Investeringen_materiele_vaste_activa_INIVA_SFGO;0;0;0;0;0;0;0;0;0
INIVA.Investeringen_materiele_vaste_activa_INIVA_WIA;0;0;0;0;0;0;0;0;0
INIVA.Investeringen_op_lease_INIVA_SFGO;0;0;0;0;0;0;0;0;0
KICR.Netto_Omzet_minus_accijnzen;0;0;0;0;0;0;0;0;0
KICR.Omzet_Handel_en_Overig;0;0;0;0;0;0;0;0;0
KICR.Omzet_Industrieel_minus_accijnzen;0;0;0;0;0;0;0;0;0
PCM.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten;0;0;0;0;0;0;0;0;0
PCM.Omzet_Handel_en_Overig;0;0;0;0;0;0;0;0;0
PCM.Omzet_Industrieel_minus_accijnzen;0;0;0;0;0;0;0;0;0
PCM.Omzet_Industriele_Diensten;0;0;0;0;0;0;0;0;0
PCM.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten;0;0;0;0;0;0;0;0;0
PS.Afschrijvingen_excl_die_op_operational_lease;1;1;1;1;1;1;1;1;0
PS.Afschrijvingen_op_operational_Lease;1;1;1;1;1;1;1;1;0
PS.Arbeidskosten;1;1;1;1;1;1;1;1;0
PS.EBITDA;1;1;1;1;1;1;1;1;0
PS.Exploitatie_Overschot;1;1;1;1;1;1;1;1;0
PS.Financieel_Resultaat_Op_Lease;1;1;1;1;1;1;1;1;0
PS.Inkoopwaarde_Omzet;1;1;1;1;1;1;1;1;0
PS.Inkoopwaarde_Omzet_excl_uitbesteed;1;1;1;1;1;1;1;1;0
PS.Lonen;1;1;1;1;1;1;1;1;0
PS.Marge_omzet;1;1;1;1;1;1;1;1;0
PS.Netto_Omzet_minus_accijnzen;1;1;1;1;1;1;1;1;0
PS.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten;1;1;1;1;1;1;1;1;0
PS.Omzet_Handel_en_Overig;1;1;1;1;1;1;1;1;0
PS.Omzet_Industrieel_minus_accijnzen;1;1;1;1;1;1;1;1;0
PS.Omzet_Industriele_Diensten;1;1;1;1;1;1;1;1;0
PS.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten;1;1;1;1;1;1;1;1;0
PS.Overige_personeelskosten;1;1;1;1;1;1;1;1;0
PS.Pensioenlasten;1;1;1;1;1;1;1;1;0
PS.Productie_SFO;1;1;1;1;1;1;1;1;0
PS.Reversals_Impairments;1;1;1;1;1;1;1;1;0
PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA;1;1;1;1;1;1;1;1;0
PS.Saldo_Uitzonderlijke_Baten_Lasten;1;1;1;1;1;1;1;1;0
PS.Sociale_lasten;1;1;1;1;1;1;1;1;0
PS.Subsidies;1;1;1;1;1;1;1;1;0
PS.Uitbesteed_werk;1;1;1;1;1;1;1;1;0
PS.Werknemers_in_vte_Gemiddeld;1;1;1;1;1;1;1;1;0
SFGO.Afschrijvingen_excl_die_op_operational_lease;0;0;0;0;0;0;0;0;0
SFGO.Afschrijvingen_op_operational_Lease;0;0;0;0;0;0;0;0;0
SFGO.Arbeidskosten;0;0;0;0;0;0;0;0;0
SFGO.EBITDA;0;0;0;0;0;0;0;0;0
SFGO.Exploitatie_Overschot;0;0;0;0;0;0;0;0;0
SFGO.Export;0;0;0;0;0;0;0;0;0
SFGO.Financieel_Resultaat_Op_Lease;0;0;0;0;0;0;0;0;0
SFGO.Import;0;0;0;0;0;0;0;0;0
SFGO.Investeringen_immateriele_vaste_activa_INIVA_SFGO;0;0;0;0;0;0;0;0;0
SFGO.Investeringen_materiele_vaste_activa_INIVA_SFGO;0;0;0;0;0;0;0;0;0
SFGO.Investeringen_op_lease_INIVA_SFGO;0;0;0;0;0;0;0;0;0
SFGO.Productie_SFO;0;0;0;0;0;0;0;0;0
SFGO.Reversals_Impairments;0;0;0;0;0;0;0;0;0
SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA;0;0;0;0;0;0;0;0;0
SFGO.Saldo_Uitzonderlijke_Baten_Lasten;0;0;0;0;0;0;0;0;0
SFGO.Subsidies;0;0;0;0;0;0;0;0;0
SFGO.Werknemers_in_vte_Gemiddeld;0;0;0;0;0;0;0;0;0
SWL.Lonen;0;0;0;0;0;0;0;0;1
SWL.Werknemers_in_vte_Gemiddeld;0;0;0;0;0;0;0;0;0
WIA.Arbeidskosten;0;0;0;0;0;0;0;0;0
WIA.Inkoopwaarde_Omzet;0;0;0;0;0;0;0;0;0
WIA.Inkoopwaarde_Omzet_excl_uitbesteed;0;0;0;0;0;0;0;0;0
WIA.Investeringen_immateriele_vaste_activa_INIVA_WIA;0;0;0;0;0;0;0;0;0
WIA.Investeringen_materiele_vaste_activa_INIVA_WIA;0;0;0;0;0;0;0;0;0
WIA.Lonen;0;0;0;0;0;0;0;0;0
WIA.Marge_omzet;0;0;0;0;0;0;0;0;0
WIA.Netto_Omzet_minus_accijnzen;0;0;0;0;0;0;0;0;0
WIA.Overige_personeelskosten;0;0;0;0;0;0;0;0;0
WIA.Pensioenlasten;0;0;0;0;0;0;0;0;0
WIA.Sociale_lasten;0;0;0;0;0;0;0;0;0
WIA.Uitbesteed_werk;0;0;0;0;0;0;0;0;0
