variable;weight;source
PS.Netto_Omzet_minus_accijnzen;5;PS
PS.Omzet_Industrieel_minus_accijnzen;4;PS
PS.Omzet_Handel_en_Overig;4;PS
PS.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten;5;PS
PS.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten;4;PS
PS.Omzet_Industriele_Diensten;4;PS
PS.Werknemers_in_vte_Gemiddeld;2;PS
PS.Productie_SFO;1;PS
PS.Subsidies;2;PS
PS.Afschrijvingen_excl_die_op_operational_lease;5;PS
PS.Afschrijvingen_op_operational_Lease;5;PS
PS.Reversals_Impairments;6;PS
PS.Arbeidskosten;3;PS
PS.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA;1;PS
PS.Saldo_Uitzonderlijke_Baten_Lasten;1;PS
PS.Exploitatie_Overschot;6;PS
PS.EBITDA;6;PS
PS.Financieel_Resultaat_Op_Lease;1;PS
PS.Lonen;1;PS
PS.Sociale_lasten;2;PS
PS.Pensioenlasten;3;PS
PS.Overige_personeelskosten;3;PS
PS.Inkoopwaarde_Omzet;4;PS
PS.Uitbesteed_werk;1;PS
PS.Inkoopwaarde_Omzet_excl_uitbesteed;4;PS
PS.Marge_omzet;4;PS
PCM.Omzet_Industrieel_minus_accijnzen;6;PCM
PCM.Omzet_Handel_en_Overig;6;PCM
PCM.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten;3;PCM
PCM.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten;8;PCM
PCM.Omzet_Industriele_Diensten;8;PCM
SFGO.Werknemers_in_vte_Gemiddeld;1;SFGO
SFGO.Productie_SFO;1;SFGO
SFGO.Subsidies;1;SFGO
SFGO.Afschrijvingen_excl_die_op_operational_lease;4;SFGO
SFGO.Afschrijvingen_op_operational_Lease;4;SFGO
SFGO.Reversals_Impairments;5;SFGO
SFGO.Arbeidskosten;2;SFGO
SFGO.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA;1;SFGO
SFGO.Saldo_Uitzonderlijke_Baten_Lasten;1;SFGO
SFGO.Exploitatie_Overschot;5;SFGO
SFGO.EBITDA;5;SFGO
SFGO.Financieel_Resultaat_Op_Lease;1;SFGO
SFGO.Import;2;SFGO
SFGO.Export;2;SFGO
SFGO.Investeringen_materiele_vaste_activa_INIVA_SFGO;1;SFGO
SFGO.Investeringen_immateriele_vaste_activa_INIVA_SFGO;1;SFGO
SFGO.Investeringen_op_lease_INIVA_SFGO;1;SFGO
DRT.Netto_Omzet_minus_accijnzen;4;DRT
KICR.Netto_Omzet_minus_accijnzen;3;KICR
KICR.Omzet_Industrieel_minus_accijnzen;3;KICR
KICR.Omzet_Handel_en_Overig;3;KICR
SWL.Werknemers_in_vte_Gemiddeld;100;SWL
SWL.Lonen;100;SWL
IH.Import;1;IH
IH.Export;1;IH
WIA.Netto_Omzet_minus_accijnzen;1,5;WIA
WIA.Arbeidskosten;1;WIA
WIA.Lonen;1,5;WIA
WIA.Sociale_lasten;1,5;WIA
WIA.Pensioenlasten;1,5;WIA
WIA.Overige_personeelskosten;1;WIA
WIA.Inkoopwaarde_Omzet;1,5;WIA
WIA.Uitbesteed_werk;1;WIA
WIA.Inkoopwaarde_Omzet_excl_uitbesteed;1;WIA
WIA.Marge_omzet;1,5;WIA
WIA.Investeringen_materiele_vaste_activa_INIVA_WIA;2;WIA
WIA.Investeringen_immateriele_vaste_activa_INIVA_WIA;2;WIA
INIVA.Investeringen_materiele_vaste_activa_INIVA_WIA;1;INIVA
INIVA.Investeringen_immateriele_vaste_activa_INIVA_WIA;1;INIVA
INIVA.Investeringen_materiele_vaste_activa_INIVA_SFGO;1;INIVA
INIVA.Investeringen_immateriele_vaste_activa_INIVA_SFGO;1;INIVA
INIVA.Investeringen_op_lease_INIVA_SFGO;1;INIVA
Echt.Netto_Omzet_minus_accijnzen;1;Echt
Echt.Omzet_Industrieel_minus_accijnzen;1;Echt
Echt.Omzet_Handel_en_Overig;1;Echt
Echt.Netto_Omzet_minus_accijnzen_minus_doorberekende_vrachtkosten;1;Echt
Echt.Omzet_Zelfvervaardigd_Nederland_minus_accijnzen_minus_doorberekende_vrachtkosten;1;Echt
Echt.Omzet_Industriele_Diensten;1;Echt
Echt.Werknemers_in_vte_Gemiddeld;1;Echt
Echt.Productie_SFO;1;Echt
Echt.Subsidies;1;Echt
Echt.Afschrijvingen_excl_die_op_operational_lease;1;Echt
Echt.Afschrijvingen_op_operational_Lease;1;Echt
Echt.Reversals_Impairments;1;Echt
Echt.Arbeidskosten;1;Echt
Echt.Saldo_boekwinsten_verliezen_op_Verkopen_iMVA;1;Echt
Echt.Saldo_Uitzonderlijke_Baten_Lasten;1;Echt
Echt.Exploitatie_Overschot;1;Echt
Echt.EBITDA;1;Echt
Echt.Financieel_Resultaat_Op_Lease;1;Echt
Echt.Lonen;1;Echt
Echt.Sociale_lasten;1;Echt
Echt.Pensioenlasten;1;Echt
Echt.Overige_personeelskosten;1;Echt
Echt.Inkoopwaarde_Omzet;1;Echt
Echt.Uitbesteed_werk;1;Echt
Echt.Inkoopwaarde_Omzet_excl_uitbesteed;1;Echt
Echt.Marge_omzet;1;Echt
Echt.Import;1;Echt
Echt.Export;1;Echt
Echt.Investeringen_materiele_vaste_activa_INIVA_WIA;1;Echt
Echt.Investeringen_immateriele_vaste_activa_INIVA_WIA;1;Echt
Echt.Investeringen_materiele_vaste_activa_INIVA_SFGO;1;Echt
Echt.Investeringen_immateriele_vaste_activa_INIVA_SFGO;1;Echt
Echt.Investeringen_op_lease_INIVA_SFGO;1;Echt
